playerId,playerName,LA_RAPM,LA_RAPM_Rank,LA_RAPM__Def,LA_RAPM__Def_Rank,LA_RAPM__Off,LA_RAPM__Off_Rank,RA_EFG,RA_EFG_Rank,RA_EFG__Def,RA_EFG__Def_Rank,RA_EFG__Off,RA_EFG__Off_Rank,RA_FTR,RA_FTR_Rank,RA_FTR__Def,RA_FTR__Def_Rank,RA_FTR__Off,RA_FTR__Off_Rank,RA_ORBD,RA_ORBD_Rank,RA_ORBD__Def,RA_ORBD__Def_Rank,RA_ORBD__Off,RA_ORBD__Off_Rank,RA_TOV,RA_TOV_Rank,RA_TOV__Def,RA_TOV__Def_Rank,RA_TOV__Off,RA_TOV__Off_Rank,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,season,teamId,teamName,primaryKey
1629648,"Jordan Bone",-0.96,433,-0.61,413,-0.35,353,-1.2,480,-0.41,413,-0.79,470,0.18,194,0.28,128,-0.1,302,-0.33,315,0.28,151,-0.61,405,-0.37,388,-0.25,383,-0.13,327,-1.85,463,-0.67,401,-1.18,442,"2020-21",1610612753,"ORL","1629648_2020-21"
1626162,"Kelly Oubre Jr.",0.16,197,0.56,98,-0.4,363,-0.33,351,0.27,125,-0.6,441,-0.23,329,-0.07,275,-0.15,318,-2.81,494,-1.2,471,-1.61,479,0.04,224,0.11,175,-0.07,293,-1.57,444,0.05,229,-1.62,473,"2020-21",1610612744,"GSW","1626162_2020-21"
1626168,"Trey Lyles",-1.19,452,-0.19,307,-1,457,-1.51,491,-0.07,299,-1.44,495,-0.21,327,-0.41,395,0.2,165,-0.44,328,0.13,203,-0.57,399,-0.15,310,-0.58,460,0.43,68,-2.88,490,-0.7,407,-2.18,493,"2020-21",1610612759,"SAS","1626168_2020-21"
1629650,"Moses Brown",-0.72,395,-0.36,364,-0.35,354,0.09,193,-0.04,279,0.13,172,-0.28,345,-0.67,452,0.39,102,0.19,206,-0.16,303,0.35,145,-0.69,444,-0.56,457,-0.12,325,-0.58,338,-0.62,398,0.04,214,"2020-21",1610612760,"OKC","1629650_2020-21"
1626169,"Stanley Johnson",-1.88,480,-0.39,370,-1.49,489,-0.97,465,-0.61,450,-0.36,377,-0.1,289,0.1,205,-0.2,333,-0.75,382,0.06,223,-0.81,425,-0.55,424,0.04,216,-0.59,463,-1.93,468,-1.03,435,-0.91,416,"2020-21",1610612761,"TOR","1626169_2020-21"
1628422,"Damyean Dotson",-0.84,414,-0.25,332,-0.59,402,-0.99,466,0.2,160,-1.19,492,1.18,30,0.68,48,0.49,72,0.01,257,-0.69,433,0.68,78,-0.55,425,0.01,247,-0.54,459,-1.85,464,0.5,123,-2.36,494,"2020-21",1610612739,"CLE","1628422_2020-21"
1629661,"Cameron Johnson",2.7,4,1.99,3,0.71,82,1.36,23,0.92,11,0.44,97,-0.15,301,0.15,181,-0.3,367,1,79,0.89,55,0.11,208,0.48,79,0.42,67,0.06,199,2.92,12,2.09,3,0.83,104,"2020-21",1610612756,"PHX","1629661_2020-21"
1626171,"Bobby Portis",-0.78,403,-0.08,273,-0.7,424,0.28,151,0.01,250,0.27,139,-0.97,455,-0.05,265,-0.91,485,1.87,23,0.4,130,1.47,22,0.1,201,0.22,129,-0.13,326,0.96,109,0.08,218,0.89,95,"2020-21",1610612749,"MIL","1626171_2020-21"
1626181,"Norman Powell",-1.7,472,-0.79,435,-0.91,450,-0.75,429,-0.86,476,0.11,181,-0.12,297,-0.55,433,0.42,91,-1.23,438,-0.8,447,-0.43,375,0.77,40,0.55,40,0.23,133,-0.35,300,-0.85,420,0.49,146,"2020-21",1610612761,"TOR","1626181_2020-21"
1626188,"Quinn Cook",-0.44,334,-0.07,270,-0.37,361,-0.21,311,0.16,174,-0.38,386,-0.61,406,-0.5,425,-0.11,303,-1.9,478,-1.29,475,-0.61,404,0.19,166,-0.09,308,0.28,106,-0.26,275,0.15,199,-0.41,315,"2020-21",1610612747,"LAL","1626188_2020-21"
